d_loss, g_loss
0.5778846, -0.024456687
1.3053097, 0.62415123
-0.026229203, 0.5627944
0.027885616, 0.7034546
-0.98476195, 0.9315898
-0.37968114, 1.0823787
-1.1623366, 1.2049661
-1.5562261, 1.583875
-1.3523237, 1.7794402
-2.3133473, 2.2297263
-1.95943, 2.3327124
-2.4670286, 2.0762584
-2.3263068, 2.4638004
-3.2063534, 2.754675
-3.1119475, 2.7005615
-3.9052358, 3.1545358
-4.045444, 3.160993
-3.6517267, 3.4314504
-4.4366546, 3.7767017
-3.5532315, 3.6622193
-3.541748, 3.1344404
-3.9600716, 3.5072217
-2.5817537, 3.0213401
-3.871334, 3.8202167
-2.8449957, 3.1388502
-3.7681408, 3.5028312
-3.2010305, 3.3958378
-3.5707114, 3.213841
-3.250708, 3.9907663
-4.2473183, 3.831987
-3.5838048, 4.7989407
-3.3388975, 4.599633
-4.4296684, 4.2221007
-4.0853252, 5.028159
-2.9744854, 4.1147394
-5.020142, 4.1158876
-4.0807076, 4.7588205
-4.062322, 4.620803
-2.9736247, 4.381364
-3.7876265, 4.2379684
-3.5521154, 5.079316
-4.2691956, 4.5000877
-3.7388968, 4.9952717
-5.1824527, 5.2770557
-4.1703715, 5.7164097
-3.3695102, 5.1499557
-4.396608, 4.539625
-3.2666059, 4.9803476
-3.942351, 4.5709157
-4.0261984, 5.0792413
-4.207426, 4.7914233
-4.517347, 4.5828667
-4.8886304, 5.7233124
-3.6730633, 5.438667
-3.8670526, 4.700658
-3.540731, 5.406425
-3.964661, 5.101679
-3.5296793, 4.2042966
-2.587304, 4.64878
-3.080578, 5.8955197
-4.816592, 4.4466248
-3.513862, 4.98483
-5.3690925, 4.394321
-3.6961381, 4.5264673
-4.161625, 4.8919134
-4.8534026, 3.435991
-3.0811021, 4.4143105
-5.6963925, 4.360837
-4.9692087, 5.772152
-3.2997062, 5.906222
-3.5233655, 5.390502
-4.7153664, 7.240885
-3.8772256, 6.678181
-4.633057, 5.4188585
-5.0542283, 6.01698
-4.2548537, 5.9258733
-4.035706, 5.2113
-4.0455275, 5.1481967
-3.128881, 6.7673597
-4.393211, 5.0089054
-4.928494, 5.9496126
-6.5207596, 5.126601
-3.8906887, 5.6102524
-4.0648847, 4.2533846
-4.4119744, 6.318225
-4.4657645, 5.8203115
-4.4471016, 5.845401
-4.864323, 4.88573
-4.975528, 4.703825
-4.359438, 5.5837584
-4.7146664, 4.4987173
-4.989615, 4.1508985
-4.72293, 4.0893574
-5.806275, 5.298996
-3.431189, 5.1155643
-3.1518443, 6.082804
-6.6096053, 5.514057
-6.468649, 5.4864054
-6.0320115, 6.2845464
-4.530543, 6.287487
-5.595901, 4.6252184
-4.892892, 5.382709
-3.3779857, 5.448966
-4.863945, 6.1026053
